date,price,opened,high,low,vol,change_per
"Feb 19, 2018","1,348.90","1,350.40","1,353.90","1,348.50",-,-0.12%
"Feb 18, 2018","1,350.50","1,349.70","1,352.40","1,349.70",-,-0.42%
"Feb 16, 2018","1,356.20","1,356.60","1,364.40","1,347.30",230.90K,0.07%
"Feb 15, 2018","1,355.30","1,353.00","1,359.80","1,350.80",274.93K,-0.20%
"Feb 14, 2018","1,358.00","1,331.90","1,358.60","1,319.10",431.72K,2.07%
"Feb 13, 2018","1,330.40","1,325.00","1,333.50","1,323.70",201.43K,0.30%
"Feb 12, 2018","1,326.40","1,317.10","1,330.00","1,316.30",208.07K,0.59%
"Feb 11, 2018","1,318.60","1,317.40","1,319.00","1,316.30",-,0.22%
"Feb 09, 2018","1,315.70","1,321.00","1,325.00","1,313.20",317.67K,-0.25%
"Feb 08, 2018","1,319.00","1,320.70","1,324.50","1,309.00",365.93K,0.33%
"Feb 07, 2018","1,314.60","1,326.60","1,334.80","1,313.50",351.23K,-1.12%
"Feb 06, 2018","1,329.50","1,343.10","1,349.30","1,322.80",473.35K,-0.52%
"Feb 05, 2018","1,336.50","1,334.60","1,344.80","1,331.60",305.68K,-0.06%
"Feb 02, 2018","1,337.30","1,352.20","1,353.30","1,330.10",431.41K,-0.79%
"Feb 01, 2018","1,347.90","1,348.20","1,354.30","1,340.20",310.50K,0.36%
"Jan 31, 2018","1,343.10","1,341.80","1,351.00","1,335.50",377.14K,0.23%
"Jan 30, 2018","1,340.00","1,344.00","1,352.50","1,337.50",412.52K,-0.38%
"Jan 29, 2018","1,345.10","1,353.70","1,356.30","1,340.90",233.76K,-0.89%
"Jan 26, 2018","1,357.20","1,352.70","1,361.00","1,348.60",142.27K,-0.79%
"Jan 25, 2018","1,368.00","1,362.70","1,370.50","1,346.20",142.58K,0.48%
"Jan 24, 2018","1,361.40","1,346.20","1,366.80","1,344.10",159.34K,1.47%
"Jan 23, 2018","1,341.70","1,338.40","1,346.60","1,335.80",70.40K,0.36%
"Jan 22, 2018","1,336.90","1,339.40","1,340.30","1,332.90",104.32K,0.29%
"Jan 19, 2018","1,333.10","1,327.00","1,338.20","1,326.60",275.30K,0.44%
